"original_feature","seurat_feature","changed"
"RP3-510D11.1","RP3-510D11.1",FALSE
"RP3-510D11.2","RP3-510D11.2",FALSE
"H6PD","H6PD",FALSE
"SPSB1","SPSB1",FALSE
"RP13-392I16.1","RP13-392I16.1",FALSE
"SLC25A33","SLC25A33",FALSE
"TMEM201","TMEM201",FALSE
"PIK3CD","PIK3CD",FALSE
"C1orf200","C1orf200",FALSE
"RP11-558F24.4","RP11-558F24.4",FALSE
"CLSTN1","CLSTN1",FALSE
"CTNNBIP1","CTNNBIP1",FALSE
"RP11-84A14.5","RP11-84A14.5",FALSE
"LZIC","LZIC",FALSE
"NMNAT1","NMNAT1",FALSE
"RBP7","RBP7",FALSE
"UBE4B","UBE4B",FALSE
"KIF1B","KIF1B",FALSE
"PGD","PGD",FALSE
"RP4-736L20.3","RP4-736L20.3",FALSE
"APITD1","APITD1",FALSE
"APITD1-CORT","APITD1-CORT",FALSE
"CORT","CORT",FALSE
"DFFA","DFFA",FALSE
"RP5-1113E3.3","RP5-1113E3.3",FALSE
"PEX14","PEX14",FALSE
"CASZ1","CASZ1",FALSE
"RP4-734G22.3","RP4-734G22.3",FALSE
"C1orf127","C1orf127",FALSE
"TARDBP","TARDBP",FALSE
"MASP2","MASP2",FALSE
"RP4-635E18.8","RP4-635E18.8",FALSE
"SRM","SRM",FALSE
"EXOSC10","EXOSC10",FALSE
"RP4-635E18.7","RP4-635E18.7",FALSE
"RP4-635E18.6","RP4-635E18.6",FALSE
"MTOR","MTOR",FALSE
"MTOR-AS1","MTOR-AS1",FALSE
"ANGPTL7","ANGPTL7",FALSE
"UBIAD1","UBIAD1",FALSE
"PTCHD2","PTCHD2",FALSE
"RP1-69M21.2","RP1-69M21.2",FALSE
"FBXO2","FBXO2",FALSE
"FBXO44","FBXO44",FALSE
"FBXO6","FBXO6",FALSE
"MAD2L2","MAD2L2",FALSE
"DRAXIN","DRAXIN",FALSE
"AGTRAP","AGTRAP",FALSE
"C1orf167","C1orf167",FALSE
"RP11-56N19.5","RP11-56N19.5",FALSE
"MTHFR","MTHFR",FALSE
"CLCN6","CLCN6",FALSE
"NPPA-AS1","NPPA-AS1",FALSE
"NPPA","NPPA",FALSE
"NPPB","NPPB",FALSE
"KIAA2013","KIAA2013",FALSE
"PLOD1","PLOD1",FALSE
"MFN2","MFN2",FALSE
"MIIP","MIIP",FALSE
"TNFRSF8","TNFRSF8",FALSE
"TNFRSF1B","TNFRSF1B",FALSE
"VPS13D","VPS13D",FALSE
"RP5-888M10.2","RP5-888M10.2",FALSE
"DHRS3","DHRS3",FALSE
"RP11-474O21.5","RP11-474O21.5",FALSE
"AADACL4","AADACL4",FALSE
"AADACL3","AADACL3",FALSE
"C1orf158","C1orf158",FALSE
"PRAMEF12","PRAMEF12",FALSE
"PRAMEF1","PRAMEF1",FALSE
"RP5-845O24.8","RP5-845O24.8",FALSE
"PRAMEF11","PRAMEF11",FALSE
"HNRNPCL1","HNRNPCL1",FALSE
"PRAMEF2","PRAMEF2",FALSE
"PRAMEF4","PRAMEF4",FALSE
"PRAMEF10","PRAMEF10",FALSE
"PRAMEF7","PRAMEF7",FALSE
"PRAMEF6","PRAMEF6",FALSE
"PRAMEF22","PRAMEF22",FALSE
"WI2-3308P17.2","WI2-3308P17.2",FALSE
"RP13-221M14.2","RP13-221M14.2",FALSE
"PRAMEF26","PRAMEF26",FALSE
"PRAMEF3","PRAMEF3",FALSE
"PRAMEF5","PRAMEF5",FALSE
"PRAMEF8","PRAMEF8",FALSE
"PRAMEF9","PRAMEF9",FALSE
"RP11-219C24.10","RP11-219C24.10",FALSE
"PRAMEF13","PRAMEF13",FALSE
"PRAMEF18","PRAMEF18",FALSE
"PRAMEF16","PRAMEF16",FALSE
"PRAMEF21","PRAMEF21",FALSE
"PRAMEF15","PRAMEF15",FALSE
"PRAMEF14","PRAMEF14",FALSE
"PRAMEF19","PRAMEF19",FALSE
"PRAMEF17","PRAMEF17",FALSE
"PRAMEF20","PRAMEF20",FALSE
"LRRC38","LRRC38",FALSE
"RP4-597A16.2","RP4-597A16.2",FALSE
"PDPN","PDPN",FALSE
"CTA-520D8.2","CTA-520D8.2",FALSE
"PRDM2","PRDM2",FALSE
"RP11-344F13.1","RP11-344F13.1",FALSE
"RP4-704D23.1","RP4-704D23.1",FALSE
"KAZN","KAZN",FALSE
"TMEM51","TMEM51",FALSE
"C1orf195","C1orf195",FALSE
"FHAD1","FHAD1",FALSE
"RP3-467K16.2","RP3-467K16.2",FALSE
"RP3-467K16.7","RP3-467K16.7",FALSE
"RP3-467K16.4","RP3-467K16.4",FALSE
"EFHD2","EFHD2",FALSE
"CTRC","CTRC",FALSE
"CELA2A","CELA2A",FALSE
"CELA2B","CELA2B",FALSE
"CASP9","CASP9",FALSE
"DNAJC16","DNAJC16",FALSE
"RP4-680D5.8","RP4-680D5.8",FALSE
"AGMAT","AGMAT",FALSE
"RP4-680D5.2","RP4-680D5.2",FALSE
"DDI2","DDI2",FALSE
"RSC1A1","RSC1A1",FALSE
"RP4-680D5.9","RP4-680D5.9",FALSE
"PLEKHM2","PLEKHM2",FALSE
"RP11-288I21.1","RP11-288I21.1",FALSE
"SLC25A34","SLC25A34",FALSE
"RP11-169K16.4","RP11-169K16.4",FALSE
"TMEM82","TMEM82",FALSE
"FBLIM1","FBLIM1",FALSE
"RP11-169K16.9","RP11-169K16.9",FALSE
"SPEN","SPEN",FALSE
"ZBTB17","ZBTB17",FALSE
"C1orf64","C1orf64",FALSE
"RP11-5P18.5","RP11-5P18.5",FALSE
"HSPB7","HSPB7",FALSE
"CLCNKA","CLCNKA",FALSE
"CLCNKB","CLCNKB",FALSE
"FAM131C","FAM131C",FALSE
"EPHA2","EPHA2",FALSE
"RP11-276H7.2","RP11-276H7.2",FALSE
"RP11-276H7.3","RP11-276H7.3",FALSE
"ARHGEF19-AS1","ARHGEF19-AS1",FALSE
"ARHGEF19","ARHGEF19",FALSE
"C1orf134","C1orf134",FALSE
"RSG1","RSG1",FALSE
"FBXO42","FBXO42",FALSE
"SZRD1","SZRD1",FALSE
"SPATA21","SPATA21",FALSE
"NECAP2","NECAP2",FALSE
"RP4-798A10.2","RP4-798A10.2",FALSE
"RP4-798A10.7","RP4-798A10.7",FALSE
"RP4-798A10.4","RP4-798A10.4",FALSE
"U1","U1",FALSE
"FAM231B","FAM231B",FALSE
"NBPF1","NBPF1",FALSE
"RP5-1182A14.5","RP5-1182A14.5",FALSE
"CROCCP2","CROCCP2",FALSE
"FAM231A","FAM231A",FALSE
"FAM231C","FAM231C",FALSE
"CROCC","CROCC",FALSE
"RP11-108M9.1","RP11-108M9.1",FALSE
"RP11-108M9.2","RP11-108M9.2",FALSE
"U1.1","U1.1",FALSE
"RP11-108M9.4","RP11-108M9.4",FALSE
"RP11-108M9.6","RP11-108M9.6",FALSE
"MFAP2","MFAP2",FALSE
"RP1-37C10.3","RP1-37C10.3",FALSE
"ATP13A2","ATP13A2",FALSE
"SDHB","SDHB",FALSE
"PADI2","PADI2",FALSE
"RP11-380J14.1","RP11-380J14.1",FALSE
"PADI1","PADI1",FALSE
"PADI3","PADI3",FALSE
"PADI4","PADI4",FALSE
"AC004824.2","AC004824.2",FALSE
"RP1-20B21.4","RP1-20B21.4",FALSE
"RCC2","RCC2",FALSE
"ARHGEF10L","ARHGEF10L",FALSE
"RP11-473A10.2","RP11-473A10.2",FALSE
"ACTL8","ACTL8",FALSE
"RP11-174G17.2","RP11-174G17.2",FALSE
"IGSF21","IGSF21",FALSE
"RP11-174G17","RP11-174G17",FALSE
"RP11-422P22.1","RP11-422P22.1",FALSE
"KLHDC7A","KLHDC7A",FALSE
"PAX7","PAX7",FALSE
"TAS1R2","TAS1R2",FALSE
"RP13-279N23.2","RP13-279N23.2",FALSE
"ALDH4A1","ALDH4A1",FALSE
"IFFO2","IFFO2",FALSE
"UBR4","UBR4",FALSE
"RP1-43E13.2","RP1-43E13.2",FALSE
"EMC1","EMC1",FALSE
"MRTO4","MRTO4",FALSE
"AKR7A3","AKR7A3",FALSE
"AKR7A2","AKR7A2",FALSE
"PQLC2","PQLC2",FALSE
"CAPZB","CAPZB",FALSE
"RP5-1056L3.1","RP5-1056L3.1",FALSE
"MINOS1-NBL1","MINOS1-NBL1",FALSE
"MINOS1","MINOS1",FALSE
"NBL1","NBL1",FALSE
"HTR6","HTR6",FALSE
"TMCO4","TMCO4",FALSE
"RNF186","RNF186",FALSE
"RP11-91K11.2","RP11-91K11.2",FALSE
"OTUD3","OTUD3",FALSE
"PLA2G2E","PLA2G2E",FALSE
"PLA2G2A","PLA2G2A",FALSE
"PLA2G5","PLA2G5",FALSE
"PLA2G2D","PLA2G2D",FALSE
"PLA2G2F","PLA2G2F",FALSE
"RP3-340N1.2","RP3-340N1.2",FALSE
"PLA2G2C","PLA2G2C",FALSE
"UBXN10-AS1","UBXN10-AS1",FALSE
"UBXN10","UBXN10",FALSE
"RP3-340N1.6","RP3-340N1.6",FALSE
"VWA5B1","VWA5B1",FALSE
"RP4-745E8.2","RP4-745E8.2",FALSE
"LINC01141","LINC01141",FALSE
"RP4-749H3.2","RP4-749H3.2",FALSE
"CAMK2N1","CAMK2N1",FALSE
"MUL1","MUL1",FALSE
"FAM43B","FAM43B",FALSE
"CDA","CDA",FALSE
"PINK1","PINK1",FALSE
"PINK1-AS","PINK1-AS",FALSE
"DDOST","DDOST",FALSE
"KIF17","KIF17",FALSE
"SH2D5","SH2D5",FALSE
"RP5-930J4.2","RP5-930J4.2",FALSE
"HP1BP3","HP1BP3",FALSE
"RP5-930J4.4","RP5-930J4.4",FALSE
"EIF4G3","EIF4G3",FALSE
"ECE1","ECE1",FALSE
"RP3-329E20.2","RP3-329E20.2",FALSE
"RP5-1071N3.1","RP5-1071N3.1",FALSE
"RP11-293F5.1","RP11-293F5.1",FALSE
"NBPF3","NBPF3",FALSE
"ALPL","ALPL",FALSE
"RP11-63N8.3","RP11-63N8.3",FALSE
"RAP1GAP","RAP1GAP",FALSE
"USP48","USP48",FALSE
"LDLRAD2","LDLRAD2",FALSE
"HSPG2","HSPG2",FALSE
"CELA3B","CELA3B",FALSE
"CELA3A","CELA3A",FALSE
"RP1-224A6.3","RP1-224A6.3",FALSE
"LINC00339","LINC00339",FALSE
"CDC42","CDC42",FALSE
"RP1-224A6.9","RP1-224A6.9",FALSE
"WNT4","WNT4",FALSE
"ZBTB40","ZBTB40",FALSE
"EPHA8","EPHA8",FALSE
"C1QA","C1QA",FALSE
"C1QC","C1QC",FALSE
"C1QB","C1QB",FALSE
"EPHB2","EPHB2",FALSE
"RP11-69E9.1","RP11-69E9.1",FALSE
"RP1-74M1.3","RP1-74M1.3",FALSE
"LACTBL1","LACTBL1",FALSE
"C1orf234","C1orf234",FALSE
"KDM1A","KDM1A",FALSE
"RP1-184J9.2","RP1-184J9.2",FALSE
"LUZP1","LUZP1",FALSE
"HTR1D","HTR1D",FALSE
"RP5-1057J7.6","RP5-1057J7.6",FALSE
"HNRNPR","HNRNPR",FALSE
"ZNF436","ZNF436",FALSE
"C1orf213","C1orf213",FALSE
"RP5-1057J7.7","RP5-1057J7.7",FALSE
"TCEA3","TCEA3",FALSE
"ASAP3","ASAP3",FALSE
"E2F2","E2F2",FALSE
"RP1-150O5.3","RP1-150O5.3",FALSE
"ID3","ID3",FALSE
"MDS2","MDS2",FALSE
"RPL11","RPL11",FALSE
"TCEB3","TCEB3",FALSE
"RP5-886K2.3","RP5-886K2.3",FALSE
"PITHD1","PITHD1",FALSE
"LYPLA2","LYPLA2",FALSE
"GALE","GALE",FALSE
"HMGCL","HMGCL",FALSE
"FUCA1","FUCA1",FALSE
"CNR2","CNR2",FALSE
"RP11-4M23.3","RP11-4M23.3",FALSE
"PNRC2","PNRC2",FALSE
"SRSF10","SRSF10",FALSE
"RP11-293P20.2","RP11-293P20.2",FALSE
"MYOM3","MYOM3",FALSE
"RP11-293P20.4","RP11-293P20.4",FALSE
"IL22RA1","IL22RA1",FALSE
"IFNLR1","IFNLR1",FALSE
"RP11-10N16.2","RP11-10N16.2",FALSE
"RP11-10N16.3","RP11-10N16.3",FALSE
"GRHL3","GRHL3",FALSE
"STPG1","STPG1",FALSE
"NIPAL3","NIPAL3",FALSE
"RCAN3","RCAN3",FALSE
"RP4-594I10.3","RP4-594I10.3",FALSE
"NCMAP","NCMAP",FALSE
"SRRM1","SRRM1",FALSE
"CLIC4","CLIC4",FALSE
"RUNX3","RUNX3",FALSE
"RP11-84D1.1","RP11-84D1.1",FALSE
"RP11-84D1.2","RP11-84D1.2",FALSE
"RP4-799D16.1","RP4-799D16.1",FALSE
"RP4-706G24.1","RP4-706G24.1",FALSE
"SYF2","SYF2",FALSE
"C1orf63","C1orf63",FALSE
"RP3-465N24.6","RP3-465N24.6",FALSE
"RHD","RHD",FALSE
"TMEM50A","TMEM50A",FALSE
"RHCE","RHCE",FALSE
"TMEM57","TMEM57",FALSE
"LDLRAP1","LDLRAP1",FALSE
"RP11-70P17.1","RP11-70P17.1",FALSE
"MAN1C1","MAN1C1",FALSE
"RP1-187B23.1","RP1-187B23.1",FALSE
"SEPN1","SEPN1",FALSE
"RP1-317E23.6","RP1-317E23.6",FALSE
"RP1-317E23.3","RP1-317E23.3",FALSE
"MTFR1L","MTFR1L",FALSE
"AL020996.1","AL020996.1",FALSE
"RP1-317E23.7","RP1-317E23.7",FALSE
"AUNIP","AUNIP",FALSE
"RP1-125I3.2","RP1-125I3.2",FALSE
"PAQR7","PAQR7",FALSE
"STMN1","STMN1",FALSE
"PAFAH2","PAFAH2",FALSE
"EXTL1","EXTL1",FALSE
"SLC30A2","SLC30A2",FALSE
"TRIM63","TRIM63",FALSE
